"","asian.paints","bharati.airtel","bhel","cipla","coal.india","dlf","dr.reddys","gail","hcl.tech","hdfc.bank","hero.motor","icici.bank","itc","jindal.steel","lt","mahindra","maruti.suzuki","ongc","pnb","ranbaxy","sbi","tata.motors","tata.steel","tcs","ultratech.cements"
"icici.bank",0.0156847643236345,0.427077334432682,0.371188727007942,0.289881502387694,0.24914827737763,0.543784885082945,0.261766997436691,0.298414031848353,0.0678277695795474,0.654411606368252,0.302512232381222,1,0.371866560637495,0.444776600300152,0.299209879141448,0.429410637972657,0.502952850841901,0.492448527667175,0.623483675122469,0.144921949423941,0.662369457981969,0.397729195649689,0.488139173238074,0.118120130552842,0.365806886206143
"itc",0.0954792728501071,0.421066366044993,0.247505863329107,0.2014955579022,0.201039629566997,0.283392228868385,0.238515540469846,0.227699275659278,0.139865713409675,0.436574879918299,0.317488560345859,0.371866560637495,1,0.217356938275548,0.128861244549085,0.315999666165375,0.247974005998918,0.387285979210524,0.314608180589293,0.176372650683461,0.239256130814935,0.208966144182583,0.289865134523852,0.163210059544391,0.420463487366492
"jindal.steel",-0.0354110125903647,0.253109100596263,0.210948504542049,0.0660296748555188,0.242596107550367,0.334155670215339,0.0526804892705633,0.188962320700971,0.116854512676209,0.330924925622226,0.115142452636963,0.444776600300152,0.217356938275548,1,0.177974679172226,0.369687643164242,0.302155819338012,0.27166316501125,0.363775075184896,0.159924031093282,0.290582343114523,0.222569552349964,0.496113155150108,0.0791364880702443,0.254726336383261
"lt",-0.0169781567911943,0.147074319423659,0.241931083510234,0.19217739745752,0.0153281931961621,0.267903753890962,0.075566575650047,0.118518957365568,0.0649292617021719,0.231216435855088,0.108618120189015,0.299209879141448,0.128861244549085,0.177974679172226,1,0.2220306199666,0.362958520532896,0.188869363737874,0.306402497798557,0.162180370823629,0.262804064602286,0.220852082228889,0.246423987167486,-0.0553343185189437,0.145664580501425
"mahindra",0.0108781326542519,0.385257613122307,0.263149395191115,0.132176747324326,0.291094015274068,0.302562836968761,0.207784828523229,0.210274934603647,0.12900884776858,0.39116031293652,0.240281358739616,0.429410637972657,0.315999666165375,0.369687643164242,0.2220306199666,1,0.427537963323829,0.402986849462372,0.424264313855474,0.163004190331172,0.368049601315936,0.398429387259245,0.379099882449361,0.0714781236289298,0.327694450994939
"maruti.suzuki",0.026786875350452,0.236417340175114,0.232089128072504,0.263785340606877,0.221142637324541,0.367753167633993,0.218174036021186,0.321315809947861,-0.00868113395490577,0.458618800982508,0.285521751198088,0.502952850841901,0.247974005998918,0.302155819338012,0.362958520532896,0.427537963323829,1,0.361074279881213,0.479084851648686,0.148117132772337,0.468408350196932,0.344931617605775,0.403160539374303,-0.0358556738620532,0.278166859691224
"ongc",0.200018996510842,0.471054190898832,0.395386762893354,0.236928065475278,0.285934912164077,0.385782777305331,0.277808021576024,0.302617734817794,0.00591809765634223,0.4584063743631,0.217202400115618,0.492448527667175,0.387285979210524,0.27166316501125,0.188869363737874,0.402986849462372,0.361074279881213,1,0.497207215307368,0.16059275175852,0.437031200421479,0.331517671072898,0.438579161262089,0.12499399618768,0.398484262737348
"pnb",0.0853668840037753,0.3321921450014,0.34747964515313,0.241619674635004,0.320813609069442,0.639904791388821,0.179483363594019,0.369825553194633,0.0297765072361551,0.55084383791458,0.342698855811206,0.623483675122469,0.314608180589293,0.363775075184896,0.306402497798557,0.424264313855474,0.479084851648686,0.497207215307368,1,0.209797672759261,0.762688429947751,0.32532764707241,0.466942984184172,0.0577773899240931,0.370899888958382
"ranbaxy",0.108192787625457,0.204705505261011,0.268777913467051,0.346972221196731,0.105292364583287,0.291380573701474,0.282663298231017,0.124334233235454,0.198799158012326,0.10911746377223,0.0796825248926525,0.144921949423941,0.176372650683461,0.159924031093282,0.162180370823629,0.163004190331172,0.148117132772337,0.16059275175852,0.209797672759261,1,0.205420272894457,0.202980509985736,0.384520030510715,0.21147153142885,0.239514660985822
"sbi",0.0351008504546646,0.316584598146507,0.382357649065753,0.232727057041492,0.22639589862712,0.560340081792412,0.242025889572157,0.316273840999768,-0.030339511394769,0.532045834165994,0.231871188364812,0.662369457981969,0.239256130814935,0.290582343114523,0.262804064602286,0.368049601315936,0.468408350196932,0.437031200421479,0.762688429947751,0.205420272894457,1,0.282728674961619,0.40209509569847,-0.00852576665535164,0.308190276531367
"tata.motors",0.122964312234153,0.363189725622084,0.272000393490044,0.166542295240024,0.194382332874699,0.302814436611314,0.163648279115528,0.291924258340986,0.173742674545364,0.374201814515171,0.303924307415862,0.397729195649689,0.208966144182583,0.222569552349964,0.220852082228889,0.398429387259245,0.344931617605775,0.331517671072898,0.32532764707241,0.202980509985736,0.282728674961619,1,0.275693800859682,0.207746417879957,0.244632875100489
"tata.steel",0.0867718742205324,0.340644967529942,0.371517300395023,0.234679731843628,0.356308555957083,0.50305101949091,0.278573114454376,0.28291247892479,0.117641643032317,0.386165873153811,0.251101246739861,0.488139173238074,0.289865134523852,0.496113155150108,0.246423987167486,0.379099882449361,0.403160539374303,0.438579161262089,0.466942984184172,0.384520030510715,0.40209509569847,0.275693800859682,1,0.135607919163648,0.291050247678855
"tcs",-0.0193670004455452,0.120358943934493,0.0747310616831484,0.135813117046547,0.068910531717663,0.0562397284035091,0.21136394157025,0.13561988312218,0.57134511700594,0.199021041921976,0.20103729339792,0.118120130552842,0.163210059544391,0.0791364880702443,-0.0553343185189437,0.0714781236289298,-0.0358556738620532,0.12499399618768,0.0577773899240931,0.21147153142885,-0.00852576665535164,0.207746417879957,0.135607919163648,1,0.112394455628361
"ultratech.cements",0.0296559559116104,0.327620671236225,0.223730377777004,0.304018142635182,0.179599487643487,0.325950920697275,0.134688375448995,0.297907021743792,0.156353968481487,0.376573926870006,0.167285034760211,0.365806886206143,0.420463487366492,0.254726336383261,0.145664580501425,0.327694450994939,0.278166859691224,0.398484262737348,0.370899888958382,0.239514660985822,0.308190276531367,0.244632875100489,0.291050247678855,0.112394455628361,1
